address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
4ZbBfww7KUHgZYCsTbouP76riJjJVG9Eaj5qoknavgKc,9,2024-04-06 13:59:31+00:00,5707.174742760564,17543.25990402701,Unicorn Finance,UNI,339725.7738496011,30517.09188762059,https://birdeye.so/token/4ZbBfww7KUHgZYCsTbouP76riJjJVG9Eaj5qoknavgKc
3zRG2P6Sh6ctXk93pRtfySSKZHVWUqNnHKcJHmSajHDJ,9,2024-04-06 14:13:41+00:00,3334.176265077425,4157.371736820948,Ho Lee Fuk,FUK,111356.50066204183,1271.964761698668,https://birdeye.so/token/3zRG2P6Sh6ctXk93pRtfySSKZHVWUqNnHKcJHmSajHDJ
ANiF9DULQyL9iAQ7stKF7o8XRaP3bJnGBpiGPEoXGcYJ,9,2024-04-06 13:59:16+00:00,2839.8090219405835,2541.2004114912515,Boromir Bucks,Boromir,80732.22479494235,1836.684647677433,https://birdeye.so/token/ANiF9DULQyL9iAQ7stKF7o8XRaP3bJnGBpiGPEoXGcYJ
Hc69pecr7929qFjuZ6dYmew63YedwsEbud8WdeBemR5G,6,2024-04-06 13:53:07+00:00,3679.889227358396,4792.150573823686,DolandTrempJr,TREMPJR,43340.17951097568,85959.02220976086,https://birdeye.so/token/Hc69pecr7929qFjuZ6dYmew63YedwsEbud8WdeBemR5G
FomN1crdYumnYJHajh1r6uCKRfnuTCFtvwueiF7jcjdC,6,2024-04-06 13:59:42+00:00,1454.4243514894736,1632.1085476173444,This is Cat,MEOW,18796.701174941947,4443.428723003157,https://birdeye.so/token/FomN1crdYumnYJHajh1r6uCKRfnuTCFtvwueiF7jcjdC
EKmtey5fEmEJs5NxAuvdhmpCVksYyfLbBjQftPp2GaKv,5,2024-04-06 13:52:02+00:00,2931.5466546245016,1570.19220246197,perpe teh fwog,perpe,15691.956891820555,2650.2158751143,https://birdeye.so/token/EKmtey5fEmEJs5NxAuvdhmpCVksYyfLbBjQftPp2GaKv
33mSZLYb95e5X2mPzGxco8HNaHnGRf4traPLbZeEeFwd,9,2024-04-06 13:59:21+00:00,1107.2703767514377,11694.977267691715,Gummy,GUMMY,12267.162299845168,9935.016282062996,https://birdeye.so/token/33mSZLYb95e5X2mPzGxco8HNaHnGRf4traPLbZeEeFwd
AVP7v6QcCY4H8fqruMe1E16b7USqVhD63xmLLRiKD1pz,9,2024-04-06 13:57:23+00:00,13621.307961467395,21171.33068892033,Moonchicken,FRANK,10068.062336638957,24598.277830409643,https://birdeye.so/token/AVP7v6QcCY4H8fqruMe1E16b7USqVhD63xmLLRiKD1pz
41oW7UdwR4joTVL6HT2c5v8B5qrQxyUdKwd3E2o7Vw38,9,2024-04-06 13:51:54+00:00,4593.202810818281,3011.4620696369875,Solana Meme AI,MEME,9623.363540268301,5720.620864877853,https://birdeye.so/token/41oW7UdwR4joTVL6HT2c5v8B5qrQxyUdKwd3E2o7Vw38
6yaVaoVREVoTt5euoSFpsxLEia1JnzM6fqZj6UWFok1F,9,2024-04-06 14:17:00+00:00,11871.275420905717,15225.345571062784,Mii,$Mii,8587.922835276571,6241.537450473,https://birdeye.so/token/6yaVaoVREVoTt5euoSFpsxLEia1JnzM6fqZj6UWFok1F
5tJ9bdxMMxMFa6i714W6u5hvLNfDArGRso5CT9d4Eb2U,9,2024-04-06 13:51:37+00:00,12610.975715228842,10947.824528899459,Jeo boden,boden,5141.8049239201455,128101.26844244072,https://birdeye.so/token/5tJ9bdxMMxMFa6i714W6u5hvLNfDArGRso5CT9d4Eb2U
3NsHJRJ169bnPbxLLbNSeCHdnaVQKLETPRo1ZKHazpnK,8,2024-04-06 13:50:56+00:00,15873.975615301051,22157.126587046125,Billionaire Beef Coin,BIBC,2726.7518626169126,4374.024755223283,https://birdeye.so/token/3NsHJRJ169bnPbxLLbNSeCHdnaVQKLETPRo1ZKHazpnK
CZM8KTUtyqPsv1umUUG1DUjamtAs1HvxgxDxhn3tzmG7,6,2024-04-06 13:53:03+00:00,3217.038363433853,3781.0799573644135,jeo boden's cat,WILLOW,1807.7261917532483,2923.493221285201,https://birdeye.so/token/CZM8KTUtyqPsv1umUUG1DUjamtAs1HvxgxDxhn3tzmG7
3YP4yZXS9k6Y3Njg3zjppDfSjHJmkgHGgtVbbtyGeJmg,9,2024-04-06 13:56:32+00:00,8516.053435682385,24749.466812918155,wisconsinoctopustoken,WOT,1707.0835809961704,9347.2438872736,https://birdeye.so/token/3YP4yZXS9k6Y3Njg3zjppDfSjHJmkgHGgtVbbtyGeJmg
HFVC2N342YuedNam2QNKjgW7ovMqm3G9YEueeDLwvPzx,3,2024-04-06 14:03:13+00:00,5332.201666781014,3918.681842904077,AllMyNiggasUseSolana,NIGGA,1161.5186441998242,1990.133005971035,https://birdeye.so/token/HFVC2N342YuedNam2QNKjgW7ovMqm3G9YEueeDLwvPzx
8a63YTeJqaupkausvcVnHcu7fatYn9UxXfgr4VUnNjeQ,6,2024-04-06 13:52:30+00:00,15035.971621427427,16163.973171635314,DONK,DONK,1038.8889493238996,1206.6649682906339,https://birdeye.so/token/8a63YTeJqaupkausvcVnHcu7fatYn9UxXfgr4VUnNjeQ
7nK4CYDXxMuSiYTyGsvNhGDktKSXSQjL7b6m5t6sb4fW,6,2024-04-06 14:17:58+00:00,448.49781584887256,2043.1152880410664,DOGE 69.0,DOGE 69.0,900.1840867482924,6068.755837430286,https://birdeye.so/token/7nK4CYDXxMuSiYTyGsvNhGDktKSXSQjL7b6m5t6sb4fW
H51n1xVDiXqGSm1kxknPYi5JCY85g7LZSMfH6BhAP7Ft,5,2024-04-06 13:55:01+00:00,4939.190610160948,6938.11427344582,A Brand New Nokia 3310,3310,866.9414818710587,1044.007977728449,https://birdeye.so/token/H51n1xVDiXqGSm1kxknPYi5JCY85g7LZSMfH6BhAP7Ft
