address,buy1h,sell1h,trade1h,buy_percentage,sell_percentage,liquidity,description,url
7MFX5LySd9CdaD8irWnLLKanpDw6gxbBuhEg3qCHWc4C,226,261,487,46.40657084188911,53.59342915811089,1069.2664984761036,[],https://dexscreener.com/solana/7MFX5LySd9CdaD8irWnLLKanpDw6gxbBuhEg3qCHWc4C
95BGD6ozDJTCvjX2nQu4vuBijr6uDyHS7GAucLS2fFhP,1133,891,2024,55.97826086956522,44.02173913043478,9315.68240723526,[],https://dexscreener.com/solana/95BGD6ozDJTCvjX2nQu4vuBijr6uDyHS7GAucLS2fFhP
3TGj1yW2FfZTEVD6vuSC15KGa94hEiJDV4V9ijCyfd5s,267,180,447,59.73154362416108,40.26845637583892,1929.1411996246704,[],https://dexscreener.com/solana/3TGj1yW2FfZTEVD6vuSC15KGa94hEiJDV4V9ijCyfd5s
9SQvuBURCGPMd3Na1ed4b2jAKwJU6V1Hm5YDbZJexRTi,1210,1330,2540,47.63779527559055,52.362204724409445,3575.260298510521,[],https://dexscreener.com/solana/9SQvuBURCGPMd3Na1ed4b2jAKwJU6V1Hm5YDbZJexRTi
CfjLrHfNTzSuFWazBVz5HknoWDPUz9VHTckP4cEisJE4,418,323,741,56.41025641025641,43.58974358974359,1225.5281262978538,[],https://dexscreener.com/solana/CfjLrHfNTzSuFWazBVz5HknoWDPUz9VHTckP4cEisJE4
H3TLGnY9kZ29fUpQwc2mdpNXvHRVztiybmTCFBETECeE,246,259,505,48.71287128712871,51.28712871287129,2036.8462077327656,[],https://dexscreener.com/solana/H3TLGnY9kZ29fUpQwc2mdpNXvHRVztiybmTCFBETECeE
7Cmus4xZR4KLPn8r68NiXJWDQ5yBdyXtiRAyfEtr1a3b,1356,1343,2699,50.24082993701371,49.75917006298629,1398.940905729382,[],https://dexscreener.com/solana/7Cmus4xZR4KLPn8r68NiXJWDQ5yBdyXtiRAyfEtr1a3b
HvCDaiEVxhNUSbSSdkidv1himvDFpt3NzYZegkiujSdq,35,30,65,53.84615384615385,46.15384615384615,673.7458932125419,"[{'telegram': 'https://t.me/rektonsoll'}, {'twitter': 'https://twitter.com/rektonsolanaa'}]",https://dexscreener.com/solana/HvCDaiEVxhNUSbSSdkidv1himvDFpt3NzYZegkiujSdq
J3M4yypVrkVceydx9wJFAuMQdcCfmgE9xPFTwd1g8Ljk,22,19,41,53.65853658536586,46.34146341463415,2008.9366868293275,"[{'telegram': 'https://t.me/tiffany_sol'}, {'website': 'https://x.com/solana_tiffany'}, {'website': 'https://www.tiffany.com'}]",https://dexscreener.com/solana/J3M4yypVrkVceydx9wJFAuMQdcCfmgE9xPFTwd1g8Ljk
6cxoBEL4qQogyYpmvTNTjzwC6v7t9y99CKjJ4sRRJUfb,19,24,43,44.18604651162791,55.81395348837209,3195.6389756246053,[],https://dexscreener.com/solana/6cxoBEL4qQogyYpmvTNTjzwC6v7t9y99CKjJ4sRRJUfb
F9eXDWxAVbDKFmHKjGMdradMUCQtygDpMn8tHeQtDD8M,243,245,488,49.79508196721312,50.204918032786885,11018.191164125989,[],https://dexscreener.com/solana/F9eXDWxAVbDKFmHKjGMdradMUCQtygDpMn8tHeQtDD8M
CQjkvdw4R3nEgYoTngXLebT9idJyvuiM4p6ev4Ae1u6Z,6,4,10,60.0,40.0,2508.10322287396,[{'telegram': 'https://t.me/LuffyCoinSol'}],https://dexscreener.com/solana/CQjkvdw4R3nEgYoTngXLebT9idJyvuiM4p6ev4Ae1u6Z
CFB5zvnKHCVcCoZ3iZv1ZBF8DWT3xBfKraHtbLaDKpWb,17,11,28,60.71428571428571,39.285714285714285,1525.8800402745808,[],https://dexscreener.com/solana/CFB5zvnKHCVcCoZ3iZv1ZBF8DWT3xBfKraHtbLaDKpWb
4eweQQNEUeQGZ6tHr3RRozp6GrWnx8ckuiSaKwCxub6Y,279,3,282,98.93617021276596,1.0638297872340423,2810.870758355933,[{'telegram': 'https://t.me/WallStreetBabySoIana'}],https://dexscreener.com/solana/4eweQQNEUeQGZ6tHr3RRozp6GrWnx8ckuiSaKwCxub6Y
