address,buy1h,sell1h,trade1h,buy_percentage,sell_percentage,liquidity,description,url
7MFX5LySd9CdaD8irWnLLKanpDw6gxbBuhEg3qCHWc4C,226,261,487,46.40657084188911,53.59342915811089,1069.2664984761036,[],https://dexscreener.com/solana/7MFX5LySd9CdaD8irWnLLKanpDw6gxbBuhEg3qCHWc4C
95BGD6ozDJTCvjX2nQu4vuBijr6uDyHS7GAucLS2fFhP,1133,891,2024,55.97826086956522,44.02173913043478,9315.68240723526,[],https://dexscreener.com/solana/95BGD6ozDJTCvjX2nQu4vuBijr6uDyHS7GAucLS2fFhP
3TGj1yW2FfZTEVD6vuSC15KGa94hEiJDV4V9ijCyfd5s,267,180,447,59.73154362416108,40.26845637583892,1929.1411996246702,[],https://dexscreener.com/solana/3TGj1yW2FfZTEVD6vuSC15KGa94hEiJDV4V9ijCyfd5s
9SQvuBURCGPMd3Na1ed4b2jAKwJU6V1Hm5YDbZJexRTi,1210,1330,2540,47.63779527559055,52.362204724409445,3575.260298510521,[],https://dexscreener.com/solana/9SQvuBURCGPMd3Na1ed4b2jAKwJU6V1Hm5YDbZJexRTi
DK3Mo6VJYXAXL98Wk3i2kffv5n1DGYRYeD93JVyzXgw6,392,231,623,62.92134831460674,37.07865168539326,20502.88208457843,[],https://dexscreener.com/solana/DK3Mo6VJYXAXL98Wk3i2kffv5n1DGYRYeD93JVyzXgw6
CfjLrHfNTzSuFWazBVz5HknoWDPUz9VHTckP4cEisJE4,418,323,741,56.41025641025641,43.58974358974359,1225.5281262978538,[],https://dexscreener.com/solana/CfjLrHfNTzSuFWazBVz5HknoWDPUz9VHTckP4cEisJE4
DgWnsHxzo9Hm8PXuzuAR39eZQ924pSPg3YpxT9SDLBAt,603,508,1111,54.27542754275427,45.72457245724573,856.3215427232419,[],https://dexscreener.com/solana/DgWnsHxzo9Hm8PXuzuAR39eZQ924pSPg3YpxT9SDLBAt
HePB9267Yx1yYSjMFtCywxNg7rkoCMfNDMykJBZJ6Rbc,1537,1382,2919,52.655018842069204,47.344981157930796,2822.3690181473157,[],https://dexscreener.com/solana/HePB9267Yx1yYSjMFtCywxNg7rkoCMfNDMykJBZJ6Rbc
BXzarUP5rXSQ24GYzsZ5y1LsJm98Ts7BW2Vk8zKYf31c,852,590,1442,59.084604715672675,40.915395284327325,2811.7754779663314,[],https://dexscreener.com/solana/BXzarUP5rXSQ24GYzsZ5y1LsJm98Ts7BW2Vk8zKYf31c
H3TLGnY9kZ29fUpQwc2mdpNXvHRVztiybmTCFBETECeE,246,259,505,48.71287128712871,51.28712871287129,2036.8462077327656,[],https://dexscreener.com/solana/H3TLGnY9kZ29fUpQwc2mdpNXvHRVztiybmTCFBETECeE
5aJzzZoMwrwMEw9vHRoDhkmEQzZSATvATDDdcXjTq3VZ,265,235,500,53.0,47.0,598.1286087713661,[],https://dexscreener.com/solana/5aJzzZoMwrwMEw9vHRoDhkmEQzZSATvATDDdcXjTq3VZ
7Cmus4xZR4KLPn8r68NiXJWDQ5yBdyXtiRAyfEtr1a3b,1356,1343,2699,50.24082993701371,49.75917006298629,1398.940905729382,[],https://dexscreener.com/solana/7Cmus4xZR4KLPn8r68NiXJWDQ5yBdyXtiRAyfEtr1a3b
BaNgW7VXq245bufDbKkGsFQTxTA7NLS6bc9S5xNYaFbB,347,317,664,52.25903614457831,47.74096385542169,2149.2385959065678,[],https://dexscreener.com/solana/BaNgW7VXq245bufDbKkGsFQTxTA7NLS6bc9S5xNYaFbB
9vBBHTxPai2ic7R3wLvaPQq6CaGi4furMPF9uFLXoxsZ,107,147,254,42.125984251968504,57.874015748031496,2155.860404165329,"[{'telegram': 'https://t.me/nvidia_sol'}, {'website': 'https://x.com/ndividiasol'}, {'website': 'https://nvidiacorp.click'}]",https://dexscreener.com/solana/9vBBHTxPai2ic7R3wLvaPQq6CaGi4furMPF9uFLXoxsZ
HvCDaiEVxhNUSbSSdkidv1himvDFpt3NzYZegkiujSdq,35,30,65,53.84615384615385,46.15384615384615,673.7458932125419,"[{'telegram': 'https://t.me/rektonsoll'}, {'twitter': 'https://twitter.com/rektonsolanaa'}]",https://dexscreener.com/solana/HvCDaiEVxhNUSbSSdkidv1himvDFpt3NzYZegkiujSdq
CduU9AfgC4cB5YWTtXkXaFBKZFSekvYGhXUAJoH2Q6AB,5,8,13,38.46153846153847,61.53846153846154,2640.66353567421,"[{'telegram': 'https://t.me/china_on_sol'}, {'twitter': 'https://twitter.com/chinaonsol'}, {'website': 'https://chinasolana.com/'}]",https://dexscreener.com/solana/CduU9AfgC4cB5YWTtXkXaFBKZFSekvYGhXUAJoH2Q6AB
J3M4yypVrkVceydx9wJFAuMQdcCfmgE9xPFTwd1g8Ljk,22,19,41,53.65853658536586,46.34146341463415,2008.9366868293273,"[{'telegram': 'https://t.me/tiffany_sol'}, {'website': 'https://x.com/solana_tiffany'}, {'website': 'https://www.tiffany.com'}]",https://dexscreener.com/solana/J3M4yypVrkVceydx9wJFAuMQdcCfmgE9xPFTwd1g8Ljk
6cxoBEL4qQogyYpmvTNTjzwC6v7t9y99CKjJ4sRRJUfb,19,24,43,44.18604651162791,55.81395348837209,3195.6389756246053,[],https://dexscreener.com/solana/6cxoBEL4qQogyYpmvTNTjzwC6v7t9y99CKjJ4sRRJUfb
F9eXDWxAVbDKFmHKjGMdradMUCQtygDpMn8tHeQtDD8M,243,245,488,49.795081967213115,50.204918032786885,11018.191164125987,[],https://dexscreener.com/solana/F9eXDWxAVbDKFmHKjGMdradMUCQtygDpMn8tHeQtDD8M
Cu4chreUj5Fsrj48v3BYqHg6Jk3nVCnvvyun4gHRxbsv,5,5,10,50.0,50.0,3369.277688856904,[],https://dexscreener.com/solana/Cu4chreUj5Fsrj48v3BYqHg6Jk3nVCnvvyun4gHRxbsv
AZ4HpHgQAKD6BkeWeCPxwucZJEd3WaKovd4qM3pDGTMM,6,5,11,54.54545454545454,45.45454545454545,4388.851267481029,[],https://dexscreener.com/solana/AZ4HpHgQAKD6BkeWeCPxwucZJEd3WaKovd4qM3pDGTMM
D21yxFXxeKw1PaR2apq4MEqeS4gSVYCNKtN5urzb6Tu8,41,57,98,41.83673469387755,58.16326530612245,6947.529159862777,"[{'telegram': 'https://t.me/WolfofSolStreet'}, {'website': 'https://x.com/woss_sol?s=21'}]",https://dexscreener.com/solana/D21yxFXxeKw1PaR2apq4MEqeS4gSVYCNKtN5urzb6Tu8
JBb2NenNbWiavvC4GtBmpzJuBi1GKwQXJy5zk4UoX19E,50,44,94,53.191489361702125,46.808510638297875,7666.457957048048,[],https://dexscreener.com/solana/JBb2NenNbWiavvC4GtBmpzJuBi1GKwQXJy5zk4UoX19E
CQjkvdw4R3nEgYoTngXLebT9idJyvuiM4p6ev4Ae1u6Z,6,4,10,60.0,40.0,2508.1032228739596,[{'telegram': 'https://t.me/LuffyCoinSol'}],https://dexscreener.com/solana/CQjkvdw4R3nEgYoTngXLebT9idJyvuiM4p6ev4Ae1u6Z
3mtGcJEXBxXe9wgkd7N3RZXGS3oih8XcnPSDBZCTUuum,7,8,15,46.666666666666664,53.333333333333336,2398.060063510703,[],https://dexscreener.com/solana/3mtGcJEXBxXe9wgkd7N3RZXGS3oih8XcnPSDBZCTUuum
DBPAdKyuxtBJxAJJS8JKtz3RctRWPzgPbp9Fx2rrSNxw,6,14,20,30.0,70.0,665.2087542753709,[],https://dexscreener.com/solana/DBPAdKyuxtBJxAJJS8JKtz3RctRWPzgPbp9Fx2rrSNxw
471hhdzpyxuU8Mii8x7p4mKEqytiQEefr7rZrgsPsHLR,41,8,49,83.6734693877551,16.3265306122449,34606.03095615409,[],https://dexscreener.com/solana/471hhdzpyxuU8Mii8x7p4mKEqytiQEefr7rZrgsPsHLR
D2W4amSpNWho8EjPDh54CH6tuAfwQ2sLEt7rK5Asp9yf,10,6,16,62.5,37.5,1933.0246828817444,"[{'website': 'https://stahp.xyz'}, {'website': 'https://x.com/stahp_xyz'}]",https://dexscreener.com/solana/D2W4amSpNWho8EjPDh54CH6tuAfwQ2sLEt7rK5Asp9yf
CFB5zvnKHCVcCoZ3iZv1ZBF8DWT3xBfKraHtbLaDKpWb,17,11,28,60.71428571428571,39.285714285714285,1525.8800402745808,[],https://dexscreener.com/solana/CFB5zvnKHCVcCoZ3iZv1ZBF8DWT3xBfKraHtbLaDKpWb
EBrMAYymNrAkgmmEkeZ23dhKe6oAT5ZwMXPPMEFDSDUp,6,3,9,66.66666666666666,33.33333333333333,7006.553685556616,[{'website': 'https://www.tonyhawksproskater2.com/'}],https://dexscreener.com/solana/EBrMAYymNrAkgmmEkeZ23dhKe6oAT5ZwMXPPMEFDSDUp
3x7tdUohu3swKKjtxc3y6Y8fP2cJzScWUiaycPBpfESw,7,14,21,33.33333333333333,66.66666666666666,4533.021406708087,[],https://dexscreener.com/solana/3x7tdUohu3swKKjtxc3y6Y8fP2cJzScWUiaycPBpfESw
4Liab1yjMYe25jaExPNuiHHtvq5LuFXgwkeQdavHskrp,30,20,50,60.0,40.0,4729.19488157392,[],https://dexscreener.com/solana/4Liab1yjMYe25jaExPNuiHHtvq5LuFXgwkeQdavHskrp
ApiScHNdLvdD1Lambyu4ieugbQgyhAMvxZAqdCySrNxd,31,24,55,56.36363636363636,43.63636363636363,6766.702807660964,"[{'telegram': 'https://t.me/chadstoken'}, {'twitter': 'https://twitter.com/WeAreCHADS'}, {'website': 'https://www.wearechads.com'}]",https://dexscreener.com/solana/ApiScHNdLvdD1Lambyu4ieugbQgyhAMvxZAqdCySrNxd
DvGf89cDvn1scVEUhVcUC8fERKH2br4DfkCgLFvNPYqp,24,14,38,63.1578947368421,36.84210526315789,2996.0806133540464,[],https://dexscreener.com/solana/DvGf89cDvn1scVEUhVcUC8fERKH2br4DfkCgLFvNPYqp
4eweQQNEUeQGZ6tHr3RRozp6GrWnx8ckuiSaKwCxub6Y,279,3,282,98.93617021276596,1.0638297872340425,2810.8707583559335,[{'telegram': 'https://t.me/WallStreetBabySoIana'}],https://dexscreener.com/solana/4eweQQNEUeQGZ6tHr3RRozp6GrWnx8ckuiSaKwCxub6Y
HcwCTrqP6BEuwoXuCwgPK3zd5WmSYgvbmH1pA5v6UVrD,22,8,30,73.33333333333333,26.666666666666668,10426.369872424308,"[{'telegram': 'https://t.me/dogvisionportal'}, {'twitter': 'https://twitter.com/dogvisionpro'}, {'website': 'https://www.dogvision.xyz/'}]",https://dexscreener.com/solana/HcwCTrqP6BEuwoXuCwgPK3zd5WmSYgvbmH1pA5v6UVrD
3VPirK8MvNsRL26ABnFxgERvBBcNzzcqXjcMMp9MD2VD,6,3,9,66.66666666666666,33.33333333333333,2763.076057260029,[],https://dexscreener.com/solana/3VPirK8MvNsRL26ABnFxgERvBBcNzzcqXjcMMp9MD2VD

